"","uID","Year","Outcome","months_with_outcome","Txmonths","isCoal","initialYear","S_n_CR","avgNOxControls","scrubber","totOpTime","NOxemissions","SO2emissions","CO2emissions","GrossLoad","HeatInput","pctCapacity","Phase2","EPA.Region","Latitude","Longitude","Tx","coal_no_scrubber","coal_with_scrubber"
"3267","8048_1",2002,4144.558,12,0,FALSE,NA,FALSE,0,FALSE,7242.75,4144.558,14226.034,1914007.59,2035928,23647199,0.540363614722806,1,4,28.1844,-82.7887,FALSE,FALSE,FALSE
"3268","8048_2",2002,4279.772,12,0,FALSE,NA,FALSE,0,FALSE,8283.5,4279.772,16564.024,2113316.1,2284061,26109678,0.613803928666207,1,4,28.1844,-82.7887,FALSE,FALSE,FALSE
"3269","8049_**10",2002,50.159,12,0,FALSE,NA,FALSE,1,FALSE,1791.5,50.159,16.728,84892.896,96282,1357918.35,0.134950685964396,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3270","8049_**12",2002,29.307,12,0,FALSE,NA,FALSE,1,FALSE,1713.25,29.307,3.802,84497.805,105048,1349087.28,0.160676819294914,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3271","8049_**12",2014,8.375,12,0,FALSE,NA,FALSE,1,FALSE,730.77,8.375,0.209,35609.069,45989.43,597900.563,0.065353976549371,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3272","8049_**13",2002,24.048,12,0,FALSE,NA,FALSE,1,FALSE,1689.25,24.048,2.568,81783.104,103900,1330323.57,0.158332729045044,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3273","8049_**13",2014,10.66,12,0,FALSE,NA,FALSE,1,FALSE,772.92,10.66,0.248,38886.98,49525.81,652479.72,0.0418570058918756,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3274","8049_**7",2002,57.122,12,0,FALSE,NA,FALSE,1,FALSE,1858.5,57.122,20.036,87301.886,98062,1384608.6,0.137236449892319,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3275","8049_**7",2014,17.297,12,0,FALSE,NA,FALSE,1,FALSE,518.11,17.297,0.135,24870.665,30116.52,415496.873,0.0381245184053653,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
"3276","8049_**8",2002,60.299,12,0,FALSE,NA,FALSE,1,FALSE,1880.75,60.299,21.296,91382.705,104125,1447773.62,0.143764744627923,1,4,28.2628,-81.5486,FALSE,FALSE,FALSE
